movie|celeb|review
Face To Face 1976|Ingmar Bergman|Liv Ullmann plays Dr. Jenny Isakson, a psychiatrist who is taking a vacation while her husband Dr. Erik Isakson (Sven Lindberg) is elsewhere. Haunted by visions of an old woman, Jenny suffers from profound, inexplicable depression. Desperately in search of a escape from her doldrums, she has an affair with married doctor Tomas Jacobi (Erland Josephson). This only serves to spark an attack of hysteria for Jenny. Again visited by hallucinations of the old woman, she attempts suicide. While hovering between life and death, she imagines she sees all the people who've been influential in her life, and rails against them for causing her neuroses. Only while recovering does she learn who the spectral old woman is and why she is undergoing so harrowing an emotional experience. Like his later Scenes From a Marriage, Bergman's Face to Face (Ansikte mot ansikte) originated as a multipart TV series, which was then pared down into a two-hour-plus feature film. ~ Hal Erickson, Rovi
Catch And Release|Susannah Grant|After losing her husband in a tragic accident that occurred during his bachelor party, a would-be widow (Jennifer Garner) struggles to sort through the many secrets he kept from her as she adjusts to her new life. Erin Brockovich screenwriter Susannah Grant makes her directorial debut with a romantic comedy starring Juliette Lewis, Kevin Smith, and Timothy Olyphant.
Elektra|Rob Bowman|Ordered to assassinate Mark Miller, the deadly female ninja Elektra opts instead to defy her orders and defends both Mark and his daughter Abby against all comers.
Takers|John Luessenhop|A Los Angeles detective races to bust a group of notorious thieves before they can carry out a 20-million-dollar heist in this crime thriller from director/co-screenwriter John Luessenhop and writing partner Avery Duff. Their heists are planned to perfection, and they never leave behind a shred of evidence. But when greed gets the best of the gang and they agree to one last job, one seasoned detective (Matt Dillon) vows to put them behind bars for good. ~ Jason Buchanan, Rovi
Shes Back|Tim Kincaid|In this black comedy, henpecked electrician Paul (Robert Joy) must quietly suffer the abuses heaped on him by his loud-mouthed wife, Beatrice (Carrie Fisher). However, when Bea is murdered by a gang of marauding bikers, her ghost returns to visit Paul and browbeat him into avenging her death.
Wallenberg A Heros Story|Lamont Johnson|Raoul Wallenberg: A Hero's Story is a perfection-plus TV biopic, scripted by Gerald Green (Holocaust) and directed by Lamont Johnson (who won an Emmy for his efforts). Richard Chamberlain plays Raoul Wallenberg, scion of a well-to-do family of Swedish bankers. Although he is a Christian "Aryan," Wallenberg despises the anti-semitism of the Hitler regime. Not content with merely sitting back and viewing with alarm, Wallenberg vows to help as many Jewish victims of the Nazis as possible. Employed as a diplomat at the Swedish embassy in Budapest during World War II, Wallenberg is responsible for the escape of over 100,000 Hungarian Jews, thereby earning the enmity Nazi functionary Adolph Eichmann (played with the fury of a rabid animal by Kenneth Colley). Alas, Wallenberg himself falls victim to a "purge" of another variety at the end of the war, when he is arrested by the Russians and subsequently vanishes from the face of the Earth. Expensively lensed in England and Europe, Wallenberg: A Hero's Story was originally telecast in two parts on April 8 and 9, 1985.
Silent Motive|Lee Philips|The made-for-television thriller Silent Motive is about a screenwriter (Patricia Wettig) whose recent script is being used for a series of murders of film-industry executives. Consequently, a police detective (Mike Farrell) immediately assumes that she is the chief suspect behind these gruesome crimes.
Parallel Lives|Linda Yellen|Directed by Linda Yellen, this made-for-cable movie originally aired on the Showtime network and featured a star-studded cast including Dudley Moore, Liza Minelli, and James Belushi. The plot centers around several fraternity and sorority graduates who have decided to regroup at their alma mater. Nick (Belushi), a determined but gloomy reporter, attends on the sole hope of finding some good gossip. His highest hope lies within the career ties of his ex-lover Winnie (JoBeth Williams), who now serves as publicist to rising politician Rebecca Ferguson Stone (Patricia Wetig). Fellow alumni Charlie (Ben Gazzara) is returning for equally dishonest reasons--he's hoping to convince his ex Francie (Gena Rowlands) to pay off his gambling debts. Francie, however, has found herself more interested in bonding with a single mom/housekeeper (Ally Sheedy). All of their lives take a turn for the unexpected when the big man on campus mysteriously dies.
City Slickers Ii The Legend Of Curlys Gold|Paul Weiland|Mitch, Phil and his annoying brother Glen set out in search of Curly's lost treasure once they discover a map. Along the way, they get into trouble being the tenderfeet they are and run into Curly's twin brother. Half-assed sequel is rarely funny and ends up looking like a complete ass.
Bus Rileys Back In Town|Harvey Hart|Recently discharged and depressed sailor Bus Riley goes back to his quiet Midwestern hometown. Good-hearted Judy offers her support and affection to the unhappy man. However, unappreciative Bus finds himself falling in love with the cynical local tart, which creates all kinds of problems for the young fellow,
Me And Veronica|Don Scardino|A rebellious woman (Patricia Wettig) has continually made life hard for her younger sister (Elizabeth McGovern) by sleeping with her husband and wrecking her marriage. The older sister returns to her New Jersey hometown to cause more trouble before beginning a prison sentence.
Crime School2002|James Banks|A group of men control the streets of the city -- nothing happens without their knowledge and permission -- but they begin to abuse that power training youth in a military system, grooming them to help them rule the city. One of the students, J.C. (Ryan Kent), proves to be especially good. They give him a home and a security position, but is now locked into this criminal organization for life: the only way out is death.
Colorado Territory 1949|Raoul Walsh|This is a remake of the gangster film, 'High Sierra,' centering on a hardboiled, yet softhearted, dance-hall singer who helps redeem an escaped outlaw.
Escape From Bad Girls Dormitory|Tim Kincaid|Inmates at a women's prison run by a corrupt warden and her gang of sadistic guards plan a breakout.
Marigold|Willard Carroll|A demanding American actress (Ali Larter) heads to India in order to shoot a low-budget Hollywood film, only to find herself stranded in Bombay with no luggage and attitude to spare. Despite the unfortunate start to her Bombay adventure, the once-jaded actress is soon swept up in the glitz and glamour of the local filmmaking scene and cast in a lavish Bollywood musical. Once on the set, she meets a handsome prince and falls hopelessly in love.
Special|Hal Haberman|Les Franken is a kind-hearted and soft-spoken man who loves reading comic books. He's the type of guy who most people walk by on the street without even noticing; in essence, he's completely average and virtually invisible. However, everything changes for Les the day he is accepted into an experimental drug study for a new and exciting anti-depressant, Specioprin Hydrochloride. As Les begins to take the drugs an unexpected side effect occurs--he begins to develop special powers: the ability to levitate, to read peoples' minds, and even walk through walls. Faced with the dilemma of how best to utilize his new "powers," the answer seems obvious to Les. He puts together a homemade superhero suit and hits the streets to fight crime and protect the world from the forces of evil. Surveillance video soon exposes Les and his actions to the public via television news and therefore brings him to the attention of the businessmen developing the drug. Worried about the bad publicity Les is bringing to their new anti-depressant, they attempt to put an end to his superhero antics before too much damage is done. However, in typical comic book fashion, Les sees the men from the drug company as his evil arch nemeses--"The Suits"--men who want him to join them in their evil plan to use 'Special' to create an army of unstoppable assassins. Les refuses to play ball.
The Late Bloomer 2016|Kevin Pollak|Dr. Pete Newmans (Johnny Simmons) is a successful sex therapist whose practice is devoted to helping people re-channel their sexual impulses. When his doctors discover a pituitary tumor that has delayed his onset of puberty for 15 years, Pete undergoes what would normally be years of puberty in a matter of weeks. Mood swings, voice changes, acne and, of course, near uncontrollable erections greet Pete as he tries to navigate life as both a horny 15 year-old kid and a 30 year-old desperate to be a complete man and get the girl of his dreams. Based on the book "The Late Bloomer: A Memoir of My Body" by Ken Baker.
Sammys Adventures 2|Ben Stassen|Two young turtles are captured by poachers while escorting hatchlings to safety, and must embark on a dangerous adventure to return home.
Wyatt Earp|Lawrence Kasdan|Directed by Lawrence Kasdan, this epic version of the legendary western sheriff-gunslinger's life story stars Kevin Costner as Earp, who lived from 1848 to 1929. Growing up on a farm in Iowa, Earp tries to run away to join the Union Army in the Civil War, but he is turned away because of his youth. Instead, he studies law and marries Urilla Sutherland (Annabeth Gish). But Urilla dies of typhoid fever before they can have children. Earp grows despondent and descends into drinking and petty thievery, but his father Nicholas (Gene Hackman) finds him, sobers him up, and sets him straight. Earp becomes a buffalo hunter and a close companion of Bat Masterson (Tom Sizemore) and his brother Ed (Bill Pullman). With his brothers, Virgil (Michael Madsen) and Morgan (Linden Ashby), Earp sets out to clean up the violence-plagued towns of the old West -- by using his own guns to settle scores. Earp takes up with Mattie Blaylock (Mare Winningham), a drug addict and prostitute, then discards her for actress Josie Marcus (Joanna Going). In Tombstone, Arizona, the Earp brothers and their comrade Doc Holliday (Dennis Quaid), who is plagued by tuberculosis and a compulsion for gambling, meet their match in a ruthless gang led by Ike Clanton (Jeff Fahey). ~ Michael Betzold, Rovi
Pearl Harbor|Michael Bay|Set during the time of the Japanese bombing of Pearl Harbor, two childhood friends are caught up in the events that draw the United States into World War II. Together, they enlist in the US Air Force and soon enough they both become involved with the same woman.
Talk Radio|Oliver Stone|Monologist Eric Bogosian's one-man theater piece Talk Radio, co-written by Bogosian and Tad Savinar, is searingly brought to the screen by Oliver Stone. Bogosian plays provocateur radio talk-show host Barry Champlain, whose constant espousal of his inflammatory views and ceaseless hectoring of his callers and listeners reaps equal parts love and hate. As his program rolls on, Champlain is revealed to be just as screwed up as any of his fans, if not more. And then he pushes one caller just a bit too far. In co-adapting the play for the screen, Stone interweaves elements of Stephen Singular's factual book Talked to Death, the story of a liberal Denver radio personality who was murdered at the behest of a militant right-wing hate group. One word of warning: if you're not a fan of the sort of radio depicted herein, chances are you won't warm up to this film.
Big Picture|Christopher Guest|A young director fresh out of film school attempts to maintain his integrity in the face of the pressures and temptations of Hollywood in this appealing satire. The film's presentation of the director's subsequent journey through the film industry wringer is peppered with clever film parodies and celebrity cameos.
Tampopo|Juzo Itami|The tale of an enigmatic band of ramen ronin who guide the widow of a noodle shop owner on her quest for the perfect recipe, Tampopo serves up a savory broth of culinary adventure seasoned with offbeat comedy sketches and the erotic exploits of a gastronome gangster. Sweet, sexy, surreal, and mouthwatering, Tampopo remains one of the most delectable examples of food on film.
Knight Moves|Carl Schenkel|This murder mystery from director Carl Schenkel stars Christopher Lambert (Highlander) as Peter Sanderson, an expert chess champion. When a woman Sanderson has recently slept with is among several women brutally murdered at a chess tournament, he becomes a suspect. But when the murderer contacts Sanderson and informs him that he's set up a maniacal human chess game, he realizes that he'll have to beat the murderer to stop the killings and clear his own name. Diane Lane plays a psychologist who falls for Sanderson, and Tom Skerritt is the local sheriff investigating the case. Knight Moves won the Critics Award at the 1992 Cognac Film Festival.
Tears And Laughter Joan And Melissa Rivers Story|Oz Scott|Popular comedienne Joan Rivers and her real-life daughter Melissa portray themselves in this made-for-television movie about their family's trials and tribulations in the 1980s. After suffering through some public blows to her career, Rivers' husband Edgar (often the butt of her jokes) committed suicide. The film shows how the mother and daughter struggled to save their already troubled relationship in the wake of the devastating death.
Yaaba|Idrissa Ouedraogo|An essentially dialogue-less movie, this is the story of a young boy who cultivates a friendship with a woman who is shunned as a witch. Their relationship eventually evolves into a love relationships in which he calls her "Yaaba," which stands for "Grandmother."
Untouchables|Brian DePalma|Like the TV series that shared the same title, The Untouchables (1987) was an account of the battle between gangster Al Capone and lawman Eliot Ness, this time in the form of a feature film boasting big stars, a big budget, and a script from respected playwright David Mamet. Kevin Costner stars as Ness, a federal agent who has come to Chicago during the Prohibition Era, when corruption in the local police department is rampant. His mission is to put crime lord Capone (Robert De Niro) out of business, but Capone is so powerful and popular that Ness is not taken seriously by the law or the press. One night, discouraged, he meets a veteran patrolman, Jimmy Malone (Sean Connery), and discovers that the acerbic Irishman is the one honest man he's been seeking. Malone has soon helped Ness recruit a gunslinger rookie, George Stone (Andy Garcia), and, joined by nebbish accountant Oscar Wallace (Charles Martin Smith), the men doggedly pursue Capone and his illegal interests. At first a laughingstock, Ness soon has Capone outraged over his and Malone's sometimes law-bending tactics, and the vain mobster strikes back in vicious style. Ultimately, it is the most unexpected and minor of crimes, tax evasion, which proves Capone's undoing. All of the credits for The Untouchables boasted big names, including music from Ennio Morricone and costumes by Giorgio Armani. Director Brian De Palma continued his tradition of including a homage to past masters of the cinema with a taut stairway shoot-out reminiscent of a similar sequence in Sergei Eisenstein's Battleship Potemkin (1925). ~ Karl Williams, Rovi
Revolution|Hugh Hudson|After his son has been captured and brutalized by a British officer, an immigrant trapper (Al Pacino) becomes compelled to join the fight against the British in the American Revolutionary War.
Henry Portrait Of A Serial Killer|John McNaughton|Although the title makes Henry: Portrait of a Serial Killer seem like a cut-rate slasher flick, the movie is actually one of the most disturbing and terrifying examinations of mass murderers ever filmed. Loosely based on the story of confessed murderer Henry Lee Lucas, the film follows Henry (Michael Rooker) as he selects innocent victims -- occasionally with his roommate Otis (Tom Towles) -- and kills them, capturing their deaths on videotape. Many of these murders rank among the most brutal ever portrayed on film. The violence and the clinical, detached portrayal of Henry and his horrifying actions make Henry: Portrait of a Serial Killer a disturbing, thought-provoking film, but it certainly isn't one for every taste. Finished in 1986, the movie wasn't released until 1990, when it was greeted with both positive reviews and considerable controversy.
Birth Of A Nation|D.W. Griffith|The most successful and artistically advanced film of its time, The Birth of a Nation has also sparked protests, riots, and divisiveness since its first release. The film tells the story of the Civil War and its aftermath, as seen through the eyes of two families. The Stonemans hail from the North, the Camerons from the South. When war breaks out, the Stonemans cast their lot with the Union, while the Camerons are loyal to Dixie. After the war, Ben Cameron (Henry B. Walthall), distressed that his beloved south is now under the rule of blacks and carpetbaggers, organizes several like-minded Southerners into a secret vigilante group called the Ku Klux Klan. When Cameron's beloved younger sister Flora (Mae Marsh) leaps to her death rather than surrender to the lustful advances of renegade slave Gus (Walter Long), the Klan wages war on the new Northern-inspired government and ultimately restores "order" to the South. In the original prints, Griffith suggested that the black population be shipped to Liberia, citing Abraham Lincoln as the inspiration for this ethnic cleansing. Showings of Birth of a Nation were picketed and boycotted from the start, and as recently as 1995, Turner Classic Movies cancelled a showing of a restored print in the wake of the racial tensions around the O.J. Simpson trial verdict. ~ Hal Erickson, Rovi
The Matrimaniac|Paul Powell|This silent comedy recounts the story of a man who is desperate to marry his girlfriend even if her father disapproves. The climax of the film is a hilarious phone line wedding.
Intolerance|D.W. Griffith|Sometime during the shooting of the landmark The Birth of a Nation, filmmaker D.W. Griffith probably wondered how he could top himself. In 1916, he showed how, with the awesome Intolerance. The film began humbly enough as a medium-budget feature entitled The Mother and the Law, wherein the lives of a poor but happily married couple are disrupted by the misguided interference of a "social reform" group. A series of unfortunate circumstances culminates in the husband's being sentenced to the gallows, a fate averted by a nick-of-time rescue engineered by his wife. In the wake of the protests attending the racist content of The Birth of a Nation, Griffith wanted to demonstrate the dangers of intolerance. The Mother and the Law filled the bill to some extent, but it just wasn't "big" enough to suit his purposes. Thus, using The Mother and the Law as merely the base of the film, Griffith added three more plotlines and expanded his cinematic thesis to epic proportions. The four separate stories of Intolerance are symbolically linked by Lillian Gish as the Woman Who Rocks the Cradle ("uniter of the here and hereafter"). The "Modern Story" is essentially The Mother and the Law; the "French Story" details the persecution of the Huguenots by Catherine de Medici (Josephine Crowell); the "Biblical Story" relates the last days of Jesus Christ (Howard Gaye); and the "Babylonian Story" concerns the defeat of King Belshazzar (Alfred Paget) by the hordes of Cyrus the Persian (George Siegmann). Rather than being related chronologically, the four stories are told in parallel fashion, slowly at first, and then with increasing rapidity. The action in the film's final two reels leaps back and forth in time between Babylon, Calvary, 15th century France, and contemporary California. Described by one historian as "the only film fugue," Intolerance baffled many filmgoers of 1916 -- and, indeed, it is still an exhausting, overwhelming experience, even for audiences accustomed to the split-second cutting and multilayered montage sequences popularized by Sergei Eisenstein, Orson Welles, Jean-Luc Godard, Joel Schumacher, and MTV. On a pure entertainment level, the Babylonian sequences are the most effective, played out against one of the largest, most elaborate exterior sets ever built for a single film. The most memorable character in this sequence is "The Mountain Girl," played by star on the rise Constance Talmadge; when the Babylonian scenes were re-released as a separate feature in 1919, Talmadge's tragic death scene was altered to accommodate a happily-ever-after denouement. Other superb performances are delivered by Mae Marsh and Robert Harron in the Modern Story, and by Eugene Pallette and Margery Wilson in the French Story. Remarkably sophisticated in some scenes, appallingly naïve in others, Intolerance is a mixed bag dramatically, but one cannot deny that it is also a work of cinematic genius. The film did poorly upon its first release, not so much because its continuity was difficult to follow as because it preached a gospel of tolerance and pacifism to a nation preparing to enter World War I. Currently available prints of Intolerance run anywhere from 178 to 208 minutes; while it may be rough sledding at times, it remains essential viewing for any serious student of film technique. ~ Hal Erickson, Rovi
The Royal Tenenbaums|Wes Anderson|Royal Tenenbaum and his wife Etheline had three children--Chas, Richie, and Margot--they were a family of geniuses and then they separated. Chas started buying real estate in his early teens and seemed to have had a preternatural understanding of international finance. Margot was a playwright and received a Braverman grant of fifty thousand dollars in the ninth grade. Richie was a junior champion tennis player and won the U.S. Nationals three years in a row. Virtually all memory of the brilliance of the young Tenenbaums was subsequently erased by two decades of betrayal, failure and disaster. Most of this was generally considered to be their father's fault. The tale follows the family's sudden and unexpected reunion one recent winter.
Wild West Comedy Show|Ari Sandel|Popular comic actor Vince Vaughn brings a newly invigorating sense of Old West attitude to the world of standup comedy as he captures the carefree spirit of Buffalo Bill's turn-of-the-century "Wild West Show" on the stage, and the cameras are rolling to capture every belly-shaking laugh in this look at the 30-day, 30-gig tour that featured Vaughn serving as emcee to a wild host of renegade comics that included John Caparulo, Ahmed Ahmed, Bret Ernst, Sebastian Maniscalco, and a whole host of surprise special guests. Of course, when you gather as many comedians together as Vaughn did for such a high-concept tour, the laughs are sure to keep coming once the show has ended, and in addition to offering standup footage of each comic in action, the feature-film version of the tour also offers a hilarious look at what it was like for a group of fun-loving guys to make their way across the American landscape while bringing down the house night after night.
The Resurrection Of Gavin Stone|Dallas Jenkins|Gavin Stone, a washed-up former child star is forced to do community service at a local megachurch, pretends to be a Christian to land the part of Jesus in their annual Passion Play, only to discover that the most important role of his life is far from Hollywood.
The Crash 2017|Aram Rappaport|Set in the future when the US economy is on the brink of yet another massive financial crisis, The Crash tells the story of Guy Clifton, a federally-indicted stock trader, who is secretly enlisted by the federal government to help thwart a cyber-attack aimed at the US stock markets--an attack that could permanently cripple the economy. Our 'richer than God' protagonist is charged with assembling a team capable of running the government's top secret 'shadow stock exchange' in an attempt to keep the markets from mass panic in the event the cyber-hijack is successful. Having only ever been fueled by his love of money, Guy fully intends to use his insider knowledge of this world catastrophe for personal gain until he unearths the organization behind the attack and discovers its motives. For the first time in his life, Guy is challenged to make decisions not only for himself, but also for the good of his country--decisions that are rooted in morality rather than dollar signs. This fast-paced, save-the-world thriller is a story of redemption that also challenges the audience to question if their money is safe, and if so, for how long.
Bleed For This|Ben Younger|BLEED FOR THIS is the incredible true story of one of the most inspiring and unlikely comebacks in sports history. Miles Teller (Whiplash, Divergent) stars as Vinny "The Pazmanian Devil" Pazienza, a local Providence boxer who shot to stardom after winning two world title fights. After a near-fatal car accident leaves Vinny with a broken neck, he is told he may never walk again. Against all odds and doctor's orders, renowned trainer Kevin Rooney (Aaron Eckhart) agrees to help Vinny return to the ring just a year after the accident for what could be the last fight of his life.
Va Vis Et Deviens Live And Become Go See And Become|Radu Mihaileanu|Cultural confusion and the lack of true identity plague a young boy swept away from his mother during a joint American-Israeli rescue mission in director Radu Mihaileanu's fact-based drama. As thousands of displaced Africans crowd into Sudanese refugee camps, American and Israeli troops organize "Operation Moses," a mission aimed at relocating the wandering Falashas to Israel. Forced by his Christian mother to declare himself Jewish in hopes of joining the exile and escaping a grim fate, young Solomon (Moshe Agazai) is swept away to Israel and adopted by a Tel Aviv-dwelling French Sephardic family and re-named Schlomo. Terrified of being revealed and shaken to the core by the radically different culture of Israel, Schlomo does his best to adapt to his new surroundings as his presumed salvation slowly gives way to the inner decay of a fading identity.
Lost Boys|Joel Schumacher|In this hit '80s hybrid of the horror movie and the teen flick, a single mom and her two sons become involved with a pack of vampires when they move into an offbeat Northern California town. Lucy (Dianne Wiest) and her sons, Michael (Jason Patric) and Sam (Corey Haim), move to Santa Carla to live with Lucy's lovable but curmudgeonly father (Barnard Hughes). Lucy gets a job from video-store owner Max (Edward Herrmann), then begins dating him, while Sam hangs out with Edward and Alan Frog (Corey Feldman and Jamison Newlander), a pair of vampire-obsessed comic-shop clerks. Soon Michael falls in with some actual vampires after becoming enamored of one of their victims: Star (Jami Gertz), a gypsy-like vixen who is trying to hold on to her humanity even though vampire leader David (Kiefer Sutherland) wants to play Peter Pan to her Wendy. When Michael visits the cavernous hangout of David and his cronies and unwittingly drinks from a wine bottle full of vampiric blood, he becomes an unwilling member of the bloodsucker biker gang. Soon, it's up to Sam and the Frog brothers to destroy David and his ilk without killing Michael and Star. Shot on location in the coastal California town of Santa Cruz and directed by Hollywood pro Joel Schumacher, The Lost Boys became a pop-culture phenomenon thanks to its attractive young stars, offbeat soundtrack, and hip, clever marketing campaign. The film's tagline -- "Sleep all day. Party all night. Never grow old. Never die. It's fun to be a vampire." -- perfectly captured its knowing mixture of attitude and gore. The effects team who transformed Sutherland and company into snarling bloodsuckers would go on to provide equally gruesome effects for Blade, another revisionist vampire flick, more than a decade later. ~ Brian J. Dillard, Rovi
Bullets Over Broadway|Woody Allen|Bullets Over Broadway is a Woody Allen romp that, as the title suggests, combines gangsters with show business at the height of the Roaring Twenties. David Shayne (John Cusack) is a straight-arrow playwright who plans to stand firm against compromising his work, but quickly abandons that stance when his producer (Jack Warden) finds a backer to mount his show on Broadway. There's just one catch, however: the backer is a mobster (Joe Viterelli) who sees Shayne's play as a vehicle for his dizzy, talent-free girlfriend, Olive (Jennifer Tilly). Shayne also has to deal with the demands of veteran theatre diva Helen Sinclair (Dianne Wiest) and is shocked to discover that Olive's hitman bodyguard, Cheech (Chazz Palminteri), is probably a better playwright than he is, as he secretly revises Shayne's work when he sits in on rehearsals. ~ Don Kaye, Rovi
The Americano|John Emerson|Put in charge of a South American mining operation by his wealthy dad, a light-hearted American finds love with a local gal and helps her genial father, the country's ousted ex-president, take back control from revolutionaries. Another Douglas Fairbanks Sr. comedy scripted by director John Emerson and mate Anita Loos.
True Heart Susie|D.W. Griffith|True Heart Susie is one of D.W. Griffith's "pastoral" films, wherein plot takes second place to characterization and romance. Lillian Gish plays Susie May Trueheart, who so loves local boy William Jenkins (Robert Harron) that she secretly finances his education. Returning to his home town as a minister, Jenkins never catches on that Susie is crazy for him. While Our Heroine pines away, Jenkins marries The Wrong Woman, young temptress Betty Hopkins (Clarine Seymour). Betty begins indulging in affairs with other men, but Susie loyally keeps this information from the reverend Jenkins. Even when Betty dies of pneumonia, Susie refuses to reveal all she's done on Jenkins' behalf. Finally, Susie's Aunt (Kate Bruce) can stand no more: she tells Jenkins the whole story, whereupon he takes Susie in his arms and pledges eternal devotion. In the hands of a lesser director, True Heart Susie might have been impossibly maudlin (and unbelievable; after all, can anyone be as much of a blockhead as Reverend Jenkins seems to be?) As it stands, the film's dramatic and heart-tugging value has not diminished, not even after the passage of nearly eighty years.
Branding Broadway|Lambert Hillyer|In this comical silent western, a thirsty cowpoke nearly destroys an Arizona town after he spends months on the range and returns to discover that it is "dry." As punishment, the would-be boozer is sent back East in a baggage car. All kinds of riotous fun ensues when the dusty saddle-tramp hits the Big Apple.
Lilac Time|George Fitzmaurice|In this romantic WWI drama, Colleen Moore stars as the French gamin Jeannine Bertholot who is a good luck charm to a seven-man platoon of the British Air Force. Jeannine is the niece of Madame Berthelot, who lodges and cares for the platoon.
Locked Door|George Fitzmaurice|In this drama, a woman is taken to an illegal cabaret set aboard a wealthy man's yacht. Her captor, the owner, then locks her in a stateroom. When the cops raid the joint, she is photographed with the wealthy cad.
The Face In The Fog|Alan Crosland|Blackie Dawson (Lionel Barrymore) is a reformed crook who is given a small package by a blind beggar in front of a New York cabaret. Moments later, Blackie finds the man beaten to death with his own cane. Blackie returns home and discovers the package contains precious jewels. He hides the valuables in his safe and installs electronic alarms to safeguard the jewels. Soon the villain "Evil Face" comes looking for the jewels and he and Blackie have a knock-down brawl, and when the villain touches the dial to the safe, Blackie flips the switch that electrocutes the crook. Blackie learns the jewels belong to the Grand Duchess (Seena Owen), who plans to use the precious stones to restore the monarchy in Russia.
Gomorrah|Matteo Garrone|Adapted from Roberto Saviano's controversial non-fiction book, Matteo Garrone's crime drama Gomorrah examines how organized crime reaches deep into every facet of life in Naples, Italy by telling the tale of over a dozen different characters. Among the main protagonists is a pair of wannabe thugs who take their cue from movie gangsters, a grocery-delivery boy who must learn to kill, and a criminal mastermind who plots to make a fortune while dumping toxic waste near overpopulated communities.
10000719 Victory|Maurice Tourneur|Axel Heyst (Jack Holt) is taught bitter lessons by his father -- that pity is contemptible and sympathy is useless. So the young man intends to exile himself to an island, but he winds up bringing along Alma (Seena Owen), who he has saved from unhappy circumstances. Even more complications arise when hotel proprietor Schomberg (Wallace Beery), who is jealous of Heyst, sends a group of crooks after him. The arrival of these evil characters, led by Ricardo (Lon Chaney), inspires Heyst to drop his father's philosophies and save the girl. This story was based on the novel by Joseph Conrad, but -- as is all-too common in the world of cinema -- instead of the book's tragic ending (both Alma and Heyst died), the pair live happily ever after.
This Way Please|Robert Florey|This Way Please marked Betty Grable's first appearance under her new Paramount contract. The fact that Grable plays the new bride of Charles "Buddy" Rogers takes on special significance when one realizes that Betty was two months away from her first marriage, to former child star Jackie Coogan. The plot is set in a first-run movie theatre that offers stage presentations along with the main feature. Brad Morgan (Rogers) is the theater's master of ceremonies, while Jane Morrow (Grable) is chief usherette. She'd rather be on stage dancing with Brad, and by film's end she gets her wish -- but not before a riotous slapstick wedding sequence. Jim and Marian Jordan, radio's Fibber McGee and Molly, make their film debut, as does Jack Benny's radio foil (and real-life wife) Mary Livingstone, here appearing on-screen without her husband for the first and last time in her career. The film is stolen by Rufe Davis, the "human sound effects machine," doing a medley of his specialty.
The Final Year|Greg Barker|THE FINAL YEAR is a unique insiders' account of President Barack Obama's foreign policy team during their last year in office. Featuring unprecedented access inside the White House and State Department, THE FINAL YEAR offers an uncompromising view of the inner workings of the Obama Administration as they prepare to leave power after eight years.
Hamlet 2|Andrew Fleming|Steve Coogan stars in the comedy Hamlet 2, which follows a drama teacher who tries to put together a production of "Hamlet 2" to rescue his high-school theater department. Catherine Keener co-stars in the Andrew Fleming-helmed production.
Sabans Power Rangers|Dean Israelite|A group of high-school kids, who are infused with unique superpowers, harness their abilities in order to save the world.
The Blackcoats Daughter|Oz Perkins|A deeply atmospheric and terrifying new horror film, The Blackcoat's Daughter centers on Kat (Kiernan Shipka) and Rose (Lucy Boynton), two girls who are left alone at their prep school Bramford over winter break when their parents mysteriously fail to pick them up. While the girls experience increasingly strange and creepy occurrences at the isolated school, we cross cut to another story-that of Joan (Emma Roberts), a troubled young woman on the road, who, for unknown reasons, is determined to get to Bramford as fast as she can. As Joan gets closer to the school, Kat becomes plagued by progressively intense and horrifying visions, with Rose doing her best to help her new friend as she slips further and further into the grasp of an unseen evil force. The movie suspensefully builds to the moment when the two stories will finally intersect, setting the stage for a shocking and unforgettable climax.
Tahrir Liberation Square|Stefano Savona|From facebook thumbs up to the battle of stones, a history of hope, fear, despair, anger, pride and elation, Tahrir is the real-time chronicle of the two most exciting weeks in the history of modern Egypt as lived by their protagonists. Since the 25th of January, together with thousands other Egyptian citizens, Noha, Ahmed and Elsayed have been involved in a massive movement of street protest for political freedom. By the end of the first week of urban guerrilla and brutal state reprisal it has become nothing less than a revolution to overcome Mubarak's regime. Day after day, until the capitulation of the defeated pharaoh, the film follows these young and unexpected heroes along their fierce fight to win their liberty. -- (C) Official Site
From Nowhere|Matthew Newton|Three undocumented teenagers-Moussa (J. Mallory McCree), Sophie (Octavia Chavez-Richmond), and Alyssa (Raquel Castro)-are just about to graduate high school in the Bronx. Like most teenagers, all they want to do is hang with their friends, fall in love, and figure out where to go to college, but unlike their American classmates, these three live with the threat of being discovered by the authorities. When one of their teachers connects them with a lawyer to help them get their papers, the teens start to dig into their family histories to assist their immigration cases. As they continue to deal with the everyday problems of adolescence, the teenagers are forced to confront their past and, at the same time, fight for their future.
Notes On Blindness|James Spinney|In 1983, after decades of steady deterioration, writer and theologian John Hull became totally blind. To help him make sense of the upheaval in his life, he began documenting his experiences on audiocassette. Following the Emmy Award-winning short film of the same name, NOTES ON BLINDNESS takes a creative approach to the documentary form. Actors lip-synch to the voices of the family, embedding John's original audio recordings within compelling cinematography and textured sound design. The result is a poetic and intimate story of loss, rebirth and transformation, documenting John's extraordinary journey into "a world beyond sight."
Lovesong 2017|So Yong Kim|Neglected by her husband, Sarah embarks on an impromptu road trip with her young daughter and her best friend, Mindy. Along the way, the dynamic between the two friends intensifies before circumstances force them apart. Years later, Sarah attempts to rebuild their intimate connection in the days before Mindy's wedding.
